"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 1:54:55;47,7599983215332;25.05.2020 1:54:55;46,1000022888184;25.05.2020 1:54:55;54;25.05.2020 1:54:55;532;25.05.2020 1:54:55;87,1999969482422
25.05.2020 1:55:55;48,1800003051758;25.05.2020 1:55:55;46,1000022888184;25.05.2020 1:55:55;54;25.05.2020 1:55:55;533;25.05.2020 1:55:55;87,4799957275391
25.05.2020 1:56:55;47,9300003051758;25.05.2020 1:56:55;46,1000022888184;25.05.2020 1:56:55;54;25.05.2020 1:56:55;532;25.05.2020 1:56:55;88,2200012207031
25.05.2020 1:57:55;47,7199974060059;25.05.2020 1:57:55;46,1000022888184;25.05.2020 1:57:55;54;25.05.2020 1:57:55;534;25.05.2020 1:57:55;87,6599960327148
25.05.2020 1:58:55;47,8600006103516;25.05.2020 1:58:55;46,1000022888184;25.05.2020 1:58:55;54;25.05.2020 1:58:55;534;25.05.2020 1:58:55;87,7299957275391
25.05.2020 1:59:55;47,8899993896484;25.05.2020 1:59:55;46,1000022888184;25.05.2020 1:59:55;54;25.05.2020 1:59:55;533;25.05.2020 1:59:55;87,3699951171875
25.05.2020 2:00:55;47,8499984741211;25.05.2020 2:00:55;46,1000022888184;25.05.2020 2:00:55;54;25.05.2020 2:00:55;533;25.05.2020 2:00:55;87,5099945068359
25.05.2020 2:01:55;48,1699981689453;25.05.2020 2:01:55;46,1000022888184;25.05.2020 2:01:55;54;25.05.2020 2:01:55;533;25.05.2020 2:01:55;87,9000015258789
25.05.2020 2:02:55;48,2299995422363;25.05.2020 2:02:55;46,1000022888184;25.05.2020 2:02:55;55;25.05.2020 2:02:55;534;25.05.2020 2:02:55;87,8699951171875
25.05.2020 2:03:55;48,1199989318848;25.05.2020 2:03:55;46,1000022888184;25.05.2020 2:03:55;55;25.05.2020 2:03:55;533;25.05.2020 2:03:55;87,6899948120117
25.05.2020 2:04:55;47,8600006103516;25.05.2020 2:04:55;46,1000022888184;25.05.2020 2:04:55;55;25.05.2020 2:04:55;533;25.05.2020 2:04:55;87,129997253418
25.05.2020 2:05:55;47,7899971008301;25.05.2020 2:05:55;46,1000022888184;25.05.2020 2:05:55;55;25.05.2020 2:05:55;532;25.05.2020 2:05:55;87,9700012207031
25.05.2020 2:06:55;47,5699996948242;25.05.2020 2:06:55;46,1000022888184;25.05.2020 2:06:55;55;25.05.2020 2:06:55;532;25.05.2020 2:06:55;87,3699951171875
25.05.2020 2:07:55;47,7700004577637;25.05.2020 2:07:55;46,1000022888184;25.05.2020 2:07:55;54;25.05.2020 2:07:55;533;25.05.2020 2:07:55;87,4099960327148
25.05.2020 2:08:55;47,629997253418;25.05.2020 2:08:55;46,1000022888184;25.05.2020 2:08:55;54;25.05.2020 2:08:55;532;25.05.2020 2:08:55;87,9000015258789
25.05.2020 2:09:55;47,9199981689453;25.05.2020 2:09:55;46,1000022888184;25.05.2020 2:09:55;54;25.05.2020 2:09:55;532;25.05.2020 2:09:55;87,7299957275391
25.05.2020 2:10:55;47,8699989318848;25.05.2020 2:10:55;46,1000022888184;25.05.2020 2:10:55;54;25.05.2020 2:10:55;531;25.05.2020 2:10:55;87,6599960327148
